wild_mut,ALTS910101,BENS940101,BENS940102,BENS940103,BENS940104,CSEM940101,DAYM780301,FEND850101,FITW660101,GEOD900101,GONG920101,GRAR740104,HENS920101,HENS920102,HENS920103,JOHM930101,JOND920103,JOND940101,KOLA920101,LEVJ860101,LUTR910101,LUTR910102,LUTR910103,LUTR910104,LUTR910105,LUTR910106,LUTR910107,LUTR910108,LUTR910109,MCLA710101,MCLA720101,MIYS930101,MIYT790101,MOHR870101,NIEK910101,NIEK910102,OVEJ920101,QU_C930101,QU_C930102,QU_C930103,RISJ880101,TUDE900101,AZAE970101,AZAE970102,RIER950101,WEIL970101,WEIL970102,MEHP950102,KAPO950101,VOGG950101,BLAJ010101,PRLA000101,PRLA000102,QUIB020101,NAOD960101,RUSR970101,RUSR970102,RUSR970103,OGAK980101,KANM000101,NGPC000101,MUET010101,MUET020101,MUET020102,CROG050101
AL,3.0,-1.3,-1.7,-1.4,-2.3,0.2,2.0,2.0,2.0,8.0,-1.2,96.0,1.0,2.0,3.0,-3.3,1.0,2.0,5.0,0.0,1.0,10.0,18.0,14.0,7.0,6.0,3.0,19.0,7.0,2.0,0.0,-0.45,2.76,11.0,0.51,0.54,2.0,0.555,0.862,5.0,1.3,6.0,2.0,0.0,93.0,0.0,1.0,0.97,13.6,4.0,2.0,-0.39,-1.09,-0.2,0.0,3.0,0.0,2.0,-6.7,7.0,1.0,0.0,2.0,1.0,2.0
LR,4.0,-3.2,-2.9,-2.4,-0.4,-0.2,3.0,2.0,1.0,3.0,-2.2,102.0,2.0,3.0,4.0,-3.7,3.0,3.0,6.6,1.0,4.0,10.0,7.0,3.0,8.0,12.0,7.0,10.0,10.0,2.0,0.0,-0.74,2.62,6.0,0.0,0.03,3.0,0.446,0.049,0.0,1.2,24.0,8.0,7.0,6.0,1.0,1.0,1.05,12.2,3.0,4.0,-1.19,-2.83,-1.5,5.0,2.0,2.0,2.0,-7.9,20.0,6.0,-4.5,3.0,2.0,3.0
RL,4.0,-3.2,-2.9,-2.4,-0.4,-0.2,3.0,2.0,1.0,3.0,-2.2,102.0,2.0,3.0,4.0,-3.7,3.0,3.0,6.6,1.0,4.0,10.0,7.0,3.0,8.0,12.0,7.0,10.0,10.0,2.0,0.0,-0.74,2.62,6.0,0.0,0.03,3.0,0.446,0.049,0.0,1.2,24.0,8.0,7.0,6.0,1.0,1.0,1.05,12.2,3.0,4.0,-1.19,-2.83,-1.5,5.0,2.0,2.0,2.0,-7.9,20.0,6.0,-4.5,3.0,2.0,3.0
LN,4.0,-3.4,-3.5,-3.1,-2.2,-0.39,3.0,1.0,2.0,7.0,-3.0,153.0,3.0,5.0,6.0,-4.8,3.0,4.0,0.0,1.0,4.0,10.0,12.0,6.0,11.0,15.0,7.0,14.0,13.0,1.0,0.0,-0.9,3.49,7.0,-0.23,-0.24,3.0,0.191,-0.172,0.0,0.8,35.0,9.0,9.0,52.0,1.0,2.0,0.97,11.7,2.2,7.0,-2.1,-5.64,-2.4,7.0,0.0,2.0,0.0,-7.7,32.0,3.0,-3.5,4.0,3.0,4.0
NL,4.0,-3.4,-3.5,-3.1,-2.2,-0.39,3.0,1.0,2.0,7.0,-3.0,153.0,3.0,5.0,6.0,-4.8,3.0,4.0,0.0,1.0,4.0,10.0,12.0,6.0,11.0,15.0,7.0,14.0,13.0,1.0,0.0,-0.9,3.49,7.0,-0.23,-0.24,3.0,0.191,-0.172,0.0,0.8,35.0,9.0,9.0,52.0,1.0,2.0,0.97,11.7,2.2,7.0,-2.1,-5.64,-2.4,7.0,0.0,2.0,0.0,-7.7,32.0,3.0,-3.5,4.0,3.0,4.0
LD,5.0,-5.3,-4.9,-4.2,-2.4,-0.55,4.0,1.0,2.0,3.0,-4.0,172.0,3.0,5.0,7.0,-8.0,4.0,5.0,0.0,1.0,10.0,16.0,18.0,20.0,21.0,27.0,14.0,21.0,22.0,1.0,0.0,-0.75,4.1,6.0,0.01,0.01,6.0,0.261,-0.249,0.0,-0.2,40.0,11.0,10.0,25.0,3.0,1.0,0.96,12.5,1.2,10.0,-2.65,-7.41,-3.4,8.0,1.0,7.0,3.0,-7.1,43.0,5.0,-6.0,6.0,4.0,5.0
DL,5.0,-5.3,-4.9,-4.2,-2.4,-0.55,4.0,1.0,2.0,3.0,-4.0,172.0,3.0,5.0,7.0,-8.0,4.0,5.0,0.0,1.0,10.0,16.0,18.0,20.0,21.0,27.0,14.0,21.0,22.0,1.0,0.0,-0.75,4.1,6.0,0.01,0.01,6.0,0.261,-0.249,0.0,-0.2,40.0,11.0,10.0,25.0,3.0,1.0,0.96,12.5,1.2,10.0,-2.65,-7.41,-3.4,8.0,1.0,7.0,3.0,-7.1,43.0,5.0,-6.0,6.0,4.0,5.0
LC,7.0,-3.8,-2.6,-1.6,-1.3,0.23,6.0,2.0,2.0,9.0,-1.5,198.0,2.0,2.0,3.0,-8.7,3.0,1.0,0.0,0.0,1.0,35.0,3.0,11.0,34.0,29.0,10.0,8.0,34.0,0.0,0.0,-0.02,1.65,11.0,-0.27,-0.29,6.0,0.501,0.787,5.0,-1.5,15.0,1.0,2.0,95.0,0.0,1.0,0.84,15.5,3.7,11.0,-0.31,-0.82,-1.6,2.0,4.0,2.0,2.0,-7.7,6.0,2.0,1.0,4.0,2.0,2.0
CL,7.0,-3.8,-2.6,-1.6,-1.3,0.23,6.0,2.0,2.0,9.0,-1.5,198.0,2.0,2.0,3.0,-8.7,3.0,1.0,0.0,0.0,1.0,35.0,3.0,11.0,34.0,29.0,10.0,8.0,34.0,0.0,0.0,-0.02,1.65,11.0,-0.27,-0.29,6.0,0.501,0.787,5.0,-1.5,15.0,1.0,2.0,95.0,0.0,1.0,0.84,15.5,3.7,11.0,-0.31,-0.82,-1.6,2.0,4.0,2.0,2.0,-7.7,6.0,2.0,1.0,4.0,2.0,2.0
LQ,2.0,-2.4,-2.0,-1.7,0.1,-0.3,2.0,2.0,1.0,7.0,-1.6,113.0,2.0,3.0,4.0,-4.4,2.0,2.0,9.0,1.0,2.0,12.0,13.0,7.0,13.0,9.0,6.0,14.0,12.0,3.0,0.0,-0.74,2.7,9.0,0.29,0.35,3.0,0.251,0.439,3.0,1.1,26.0,9.0,9.0,57.0,0.0,2.0,1.07,13.3,3.6,10.0,-1.49,-4.56,-1.2,5.0,2.0,5.0,2.0,-7.4,23.0,3.0,-3.5,2.0,2.0,3.0
